bout_id,event_id,promotion_id,bout_order,division,weight_class_id,bout_type,result_status,round,time,method_raw,method_normalized,technique,decision_score,is_title_bout,title_id,title_result,title_note,notes,inferred_from_video_id,inferred_from_video_title,inferred_confidence
emperor-116-r_scebsyoxg,emperor-116,emperor,2,ライト級,lightweight,one_match,unknown,,03分36秒,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n3f97c679c3d2 lines 31-42.,youtube_r_scebsyoxg,フルファイト！ステシエン・チェットvsワンシー・オーフェル エンペラーNo.116 ライト級ワンマッチ,high
emperor-116-v3usbpsmp_g,emperor-116,emperor,3,ライト級,lightweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_v3usbpsmp_g,フルファイト！マルコ・フレイザーvsブライン・ジャスター エンペラーNo.116 ライト級ワンマッチ,high
emperor-117-yfqxrut1c7m,emperor-117,emperor,1,ライト級,lightweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_yfqxrut1c7m,フルファイト！コルト・アプローvsゆめろう エンペラーNo.117 ライト級ワンマッチ,high
emperor-117-vpw0enyucay,emperor-117,emperor,2,ライト級,lightweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_vpw0enyucay,フルファイト！マルコ・フレイザーvsパット・バミューダ エンペラーNo.117 ライト級ワンマッチ,high
emperor-117-qf4ikb9ib_c,emperor-117,emperor,3,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_qf4ikb9ib_c,フルファイト！レイ・ガシーオvsルージュド・スターリー エンペラーNo.117 ミドル級ワンマッチ,high
emperor-118-bvtj1lsfwz4,emperor-118,emperor,1,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n1ef5797085bc lines 4-4.,youtube_bvtj1lsfwz4,【煽りVのみ】エンペラーNo.118 ミドル級ワンマッチ　ルージュド・スターリーvsアマルド・ビュエーラ,high
emperor-118-puek0yf2jrm,emperor-118,emperor,2,ミドル級,middleweight,one_match,unknown,,02分53秒,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n1ef5797085bc lines 31-42.,youtube_puek0yf2jrm,フルファイト！さかえだvsガネルソン・シャル・ワー エンペラーNo.118 ミドル級ワンマッチ,high
emperor-118-u6_s5feulqm,emperor-118,emperor,3,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n1ef5797085bc lines 46-58.,youtube_u6_s5feulqm,フルファイト！ダイス・ヴォルケードvsバルバード・ブワーズ エンペラーNo.118 ミドル級ワンマッチ,high
emperor-118-kgszncicwxi,emperor-118,emperor,4,ライト級,lightweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_kgszncicwxi,フルファイト！マルコ・フレイザーvsステシエン・チェット エンペラーNo.118 ライト級ワンマッチ,high
emperor-118-isftownyj1u,emperor-118,emperor,5,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_isftownyj1u,フルファイト！ルージュド・スターリーvsアマルド・ビュエーラ エンペラーNo.118 ミドル級ワンマッチ,high
emperor-119-lieo6s_renc,emperor-119,emperor,1,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n9bc919ac257d lines 4-4.,youtube_lieo6s_renc,【アトゥリうえはらvsエス・ガリオン】エンペラーNo.119ミドル級ワンマッチ（クロコップ荒木の実況付きフルファイト！！）,high
emperor-119-5dmafndwhxg,emperor-119,emperor,2,ミドル級,middleweight,video_catalog_bout,unknown,,03分38秒,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n9bc919ac257d lines 31-42.,youtube_5dmafndwhxg,【ダートソンvsガネルソン・シャル・ワー】エンペラーNo.119ミドル級ワンマッチ（クロコップ荒木の実況付きフルファイト！！）,high
emperor-119-wae2pl4rfdw,emperor-119,emperor,3,ミドル級,middleweight,video_catalog_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n9bc919ac257d lines 46-58.,youtube_wae2pl4rfdw,【さかえだvsルージュド・スターリー】エンペラーNo.119ミドル級ワンマッチ（クロコップ荒木の実況付きフルファイト！！）,high
emperor-119-fuaaxecs6he,emperor-119,emperor,4,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_fuaaxecs6he,【さくらいvsレイ・ガシーオ】エンペラーNo.119ミドル級ワンマッチ（クロコップ荒木の実況付きフルファイト！！）,high
emperor-120-ifz9rupnazm,emperor-120,emperor,1,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n331fef154e1f lines 4-4.,youtube_ifz9rupnazm,【ミサ・ウィル・ジョーvsブレード・アロー】煽り付きフルファイト！エンペラーNo.120ミドル級ワンマッチ,high
emperor-120-gencjoexft8,emperor-120,emperor,2,ミドル級,middleweight,one_match,unknown,,02分23秒,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n331fef154e1f lines 31-42.,youtube_gencjoexft8,【エス・ガリオンvsロン】フルファイト！エンペラーNo.120ミドル級ワンマッチ,high
emperor-120-wgbrpkw3_u,emperor-120,emperor,3,ライト級,lightweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n331fef154e1f lines 46-58.,youtube_wgbrpkw3_u,【ステシエン・チェットvsループデビル】フルファイト！エンペラーNo.120ライト級ワンマッチ,high
emperor-120-dxknai8nu0k,emperor-120,emperor,4,ミドル級,middleweight,one_match,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_dxknai8nu0k,【タイプ・ジーvsチャールス・ブランディン】煽り付きフルファイト！エンペラーNo.120ミドル級ワンマッチ,high
max-bout-5-middleweight-tournament-lj_cbs1xmiq,max-bout-5-middleweight-tournament,max_bout,1,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n7b52213fc431 lines 4-4.,youtube_lj_cbs1xmiq,フルファイト！第５回 MAXバウトミドル級トーナメント一回戦Ａブロック　おとさわvsゼット,high
max-bout-5-middleweight-tournament-fynnomuod1i,max-bout-5-middleweight-tournament,max_bout,2,ミドル級,middleweight,tournament_bout,unknown,,12分01秒,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n7b52213fc431 lines 31-42.,youtube_fynnomuod1i,フルファイト！第５回 MAXバウトミドル級トーナメント一回戦Ａブロック　チャールス・ブランディンvsかべい,high
max-bout-5-middleweight-tournament-voqcotsamwi,max-bout-5-middleweight-tournament,max_bout,3,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n7b52213fc431 lines 46-58.,youtube_voqcotsamwi,フルファイト！第５回 MAXバウトミドル級トーナメント一回戦Ａブロック　ミサ・ウィル・ジョーvsヘル・ラッサー,high
max-bout-5-middleweight-tournament-mnp9fbyafra,max-bout-5-middleweight-tournament,max_bout,4,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_mnp9fbyafra,フルファイト！第５回 MAXバウトミドル級トーナメント一回戦Ａブロック　ルージュド・スターリーvsシガー・ユーナイム,high
max-bout-5-middleweight-tournament-7rixgvx9na,max-bout-5-middleweight-tournament,max_bout,5,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_7rixgvx9na,フルファイト！第５回 MAXバウトミドル級トーナメント一回戦Ｂブロック　さかえだvsミハエル・ボタルニカ,high
max-bout-5-middleweight-tournament-4a_ucjfzwra,max-bout-5-middleweight-tournament,max_bout,6,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_4a_ucjfzwra,フルファイト！第５回 MAXバウトミドル級トーナメント一回戦Ｂブロック　クロノ・マリーケンvsギタミン・アーロン,high
max-bout-5-middleweight-tournament-udtntbd9neu,max-bout-5-middleweight-tournament,max_bout,7,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_udtntbd9neu,フルファイト！第５回 MAXバウトミドル級トーナメント一回戦Ｂブロック　テール・ジャンクvsらんちゃーすがや,high
max-bout-5-middleweight-tournament-w882wsm09lc,max-bout-5-middleweight-tournament,max_bout,8,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_w882wsm09lc,フルファイト！第５回 MAXバウトミドル級トーナメント一回戦Ｂブロック　トルー・パルドレスvsダイス・ヴォルケード,high
max-bout-5-middleweight-tournament-vvxae1wlsxm,max-bout-5-middleweight-tournament,max_bout,9,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_vvxae1wlsxm,フルファイト！第５回 MAXバウトミドル級トーナメント二回戦Ａブロック　かべいvsゼット,high
max-bout-5-middleweight-tournament-zmcyei8g3mi,max-bout-5-middleweight-tournament,max_bout,10,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_zmcyei8g3mi,フルファイト！第５回 MAXバウトミドル級トーナメント二回戦Ａブロック　さかえだvsクロノ・マリーケン,high
max-bout-5-middleweight-tournament-szekaoaieb8,max-bout-5-middleweight-tournament,max_bout,11,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_szekaoaieb8,フルファイト！第５回 MAXバウトミドル級トーナメント二回戦Ａブロック　ダイス・ヴォルケードvsミサ・ウィル・ジョー,high
max-bout-5-middleweight-tournament-veyyj1akdtc,max-bout-5-middleweight-tournament,max_bout,12,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_veyyj1akdtc,フルファイト！第５回 MAXバウトミドル級トーナメント二回戦Ａブロック　テール・ジャンクvsルージュド・スターリー,high
max-bout-5-middleweight-tournament-dhbctg1olfu,max-bout-5-middleweight-tournament,max_bout,13,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_dhbctg1olfu,フルファイト！第５回 MAXバウトミドル級トーナメント決勝　ミサ・ウィル・ジョーvsテール・ジャンク,high
max-bout-5-middleweight-tournament-pzlpry9qwaw,max-bout-5-middleweight-tournament,max_bout,14,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_pzlpry9qwaw,フルファイト！第５回 MAXバウトミドル級トーナメント準決勝Ａブロック　さかえだvsミサ・ウィル・ジョー,high
max-bout-5-middleweight-tournament-sxu4xadywj4,max-bout-5-middleweight-tournament,max_bout,15,ミドル級,middleweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_sxu4xadywj4,フルファイト！第５回 MAXバウトミドル級トーナメント準決勝Ｂブロック　テール・ジャンクvsゼット,high
max-bout-6-lightweight-tournament-lrsezu2mkwi,max-bout-6-lightweight-tournament,max_bout,1,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n8da1505d0ea4 lines 55-67. Structured result candidate from note-n48b479857848 lines 4-4. Structured result candidate from note-n649d6e4ecaaa lines 51-63.,youtube_lrsezu2mkwi,フルファイト！第６回 MAXバウトライト級トーナメント一回戦Ａブロック　さんごくvsマルコ・フレイザー,high
max-bout-6-lightweight-tournament-mzffdb97ygw,max-bout-6-lightweight-tournament,max_bout,2,ライト級,lightweight,tournament_bout,unknown,,20分51秒,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n48b479857848 lines 31-40.,youtube_mzffdb97ygw,フルファイト！第６回 MAXバウトライト級トーナメント一回戦Ａブロック　コルト・アプローvsセンサー・ファッジ,high
max-bout-6-lightweight-tournament-gerbahnq_po,max-bout-6-lightweight-tournament,max_bout,3,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n48b479857848 lines 44-55.,youtube_gerbahnq_po,フルファイト！第６回 MAXバウトライト級トーナメント一回戦Ａブロック　ジョン・バレーvsわく,high
max-bout-6-lightweight-tournament-3k_jsttv5wi,max-bout-6-lightweight-tournament,max_bout,4,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。 Structured result candidate from note-n48b479857848 lines 47-59.,youtube_3k_jsttv5wi,フルファイト！第６回 MAXバウトライト級トーナメント一回戦Ａブロック　パットバミューダvsアイス・トロン,high
max-bout-6-lightweight-tournament-zp7rkliamr4,max-bout-6-lightweight-tournament,max_bout,5,ライト級,lightweight,tournament_bout,unknown,,,,,,,false,,,,勝敗・決着未入力。公式YouTube動画タイトルから抽出。,youtube_zp7rkliamr4,フルファイト！第６回 MAXバウトライト級トーナメント一回戦Ｂブロック　バン・ベルソーザvsゆめろう,high
