video_id,platform,platform_video_id,url,title,original_title,channel_name,published_at,official_status,video_type,link_status,duplicate_group_id,duplicate_note,notes,source_article_ids
youtube_tv_q8xyq_x8,youtube,TV-q8XYq_x8,https://www.youtube.com/watch?v=TV-q8XYq_x8,コルト・アプローのメジャー全試合を振り返ってみた！！！,コルト・アプローのメジャー全試合を振り返ってみた！！！,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=28:18,
youtube_wmx6ol3da_q,youtube,wmX6Ol3da-Q,https://www.youtube.com/watch?v=wmX6Ol3da-Q,エンペラーNo.113の見どころ！！【概要欄見てね】,エンペラーNo.113の見どころ！！【概要欄見てね】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=14:56,
youtube_bzjeda8zhbm,youtube,bzjeDA8zHBM,https://www.youtube.com/watch?v=bzjeDA8zHBM,エンペラーNo.110の見どころ,エンペラーNo.110の見どころ,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=18:30,
youtube_cpov8qao8tg,youtube,cpov8qAO8Tg,https://www.youtube.com/watch?v=cpov8qAO8Tg,アラカク試合だけライブNo.4（アラカク説明なし）【概要欄必ず】,アラカク試合だけライブNo.4（アラカク説明なし）【概要欄必ず】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=1:39:56,
youtube_wmvedcpqe2e,youtube,WmVEdcpQe2E,https://www.youtube.com/watch?v=WmVEdcpQe2E,アラカク試合だけのライブNo.2【第7回MAXバウトライト級GP二回戦】2025.1.31,アラカク試合だけのライブNo.2【第7回MAXバウトライト級GP二回戦】2025.1.31,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=1:35:22,
youtube_v5ytgqdm11a,youtube,v5yTGqDM11A,https://www.youtube.com/watch?v=v5yTGqDM11A,アラカク試合だけのライブNo.1 【第7回MAXバウトライト級GP一回戦】2024.9.27,アラカク試合だけのライブNo.1 【第7回MAXバウトライト級GP一回戦】2024.9.27,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=1:31:15,
youtube_hcmmd8meiso,youtube,hCMMD8MEiso,https://www.youtube.com/watch?v=hCMMD8MEiso,アラカク知らない人にアラカクのこと話してみた【後編】,アラカク知らない人にアラカクのこと話してみた【後編】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=31:02,
youtube_molvoperoh4,youtube,molvOpEROH4,https://www.youtube.com/watch?v=molvOpEROH4,アラカク知らない人にアラカクのこと話してみた【前編】,アラカク知らない人にアラカクのこと話してみた【前編】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=39:59,
youtube_lfwrwukzcyw,youtube,LFwrWUKZCYw,https://www.youtube.com/watch?v=LFwrWUKZCYw,アラカク知ってる人にアラカクのこと話してみた【その③】,アラカク知ってる人にアラカクのこと話してみた【その③】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=12:19,
youtube_yfdkwnavrms,youtube,YfdkwNaVRMs,https://www.youtube.com/watch?v=YfdkwNaVRMs,アラカク知ってる人にアラカクのこと話してみた【その②】,アラカク知ってる人にアラカクのこと話してみた【その②】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=20:30,
youtube_wvn2b1o8sga,youtube,WvN2b1O8SGA,https://www.youtube.com/watch?v=WvN2b1O8SGA,アラカク知ってる人にアラカクのこと話してみた【その①】,アラカク知ってる人にアラカクのこと話してみた【その①】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=32:30,
youtube_i2vlpwmdrfc,youtube,I2VLPWMdRFc,https://www.youtube.com/watch?v=I2VLPWMdRFc,アラカク抜き打ちテスト【後編】,アラカク抜き打ちテスト【後編】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=23:21,
youtube_6dzr7xpetlw,youtube,6DZR7XpetLw,https://www.youtube.com/watch?v=6DZR7XpetLw,アラカク抜き打ちテスト【前編】,アラカク抜き打ちテスト【前編】,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=12:35,
youtube_saeric9vhmi,youtube,SaeRIC9vHMI,https://www.youtube.com/watch?v=SaeRIC9vHMI,アラカクラジオ【粗塩】Vol.２　アラカクライブの告知とメジャー合同大会の話,アラカクラジオ【粗塩】Vol.２　アラカクライブの告知とメジャー合同大会の話,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=11:00,
youtube_ybuh3hm_hla,youtube,YbuH3Hm-HLA,https://www.youtube.com/watch?v=YbuH3Hm-HLA,アラカクラジオ【粗塩】Vol.１,アラカクラジオ【粗塩】Vol.１,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=27:54,
youtube_e9jzz_cm63g,youtube,e9jZZ-Cm63g,https://www.youtube.com/watch?v=e9jZZ-Cm63g,アラカクラジオ【粗塩】Vol.3 第5回MAXバウトミドル級トーナメントベスト8の選手たちの話とか（外で撮ってて聴きにくいです）,アラカクラジオ【粗塩】Vol.3 第5回MAXバウトミドル級トーナメントベスト8の選手たちの話とか（外で撮ってて聴きにくいです）,NA,,official,reference,unlinked,,,yt-dlp channel export. duration=23:32,
