video_id,url,title,line_number,line_type,line_text
O3FMY6uqse0,https://www.youtube.com/watch?v=O3FMY6uqse0,Full Fight！トルー・パルドレスvsクロノ・マリーケン マウンテン・ヒーローズNo.27 ミドル級ワンマッチ,34,youtube_url,https://youtu.be/RSdWBnQvynU
O4QbvRk6qLE,https://www.youtube.com/watch?v=O4QbvRk6qLE,Full Fight！イスカン・アステvsジョン・バレー マウンテン・ヒーローズNo.34 ライト級ワンマッチ,1,event,マウンテン・ヒーローズNo.34
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,1,event,10月25日に開催されたアラカクライブNo.16をほぼ編集なしであげてます！
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,7,event,MAXバウトスペシャルワンマッチ大会No.2
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,11,result_or_title,⑥メジャー戦績⑦主戦団体⑧タイトル
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,20,event,第5回 MAXバウトライト級GP優勝
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,25,event,⑥【11勝2敗】⑦ターゲット
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,27,event,現ターゲットライト級王者
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,35,event,⑥【20勝5敗】⑦エンペラー
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,36,event,⑧現エンペラーライト級王者
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,37,event,第7回MAXバウトライト級GP優勝
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,52,youtube_url,https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,61,event,アラカクライブNo.13
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,62,youtube_url,https://youtu.be/Q950wPcZuME?si=atMxlniH5Ybi655A
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,64,event,アラカクライブNo.14
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,65,youtube_url,https://youtu.be/yN9h0C5MDHM?si=LV0FvalW9NmZZ8iB
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,67,event,アラカクライブNo.15
OFTN9VZ7U2c,https://www.youtube.com/watch?v=OFTN9VZ7U2c,まによんpresentsアラカクライブNo.16［秋の陣］【概要欄見て】,68,youtube_url,https://youtu.be/bRsV2jPffak?si=b-Z4btMU_Xu2BMrl
OFY3TCOBh3M,https://www.youtube.com/watch?v=OFY3TCOBh3M,場所のみ特別編！！おとさわvsオーロラデビルの見どころ！【#3あらかくNEWS】,8,event,キャパ500でアラカクライブに挑戦します❗️
OFY3TCOBh3M,https://www.youtube.com/watch?v=OFY3TCOBh3M,場所のみ特別編！！おとさわvsオーロラデビルの見どころ！【#3あらかくNEWS】,34,matchup,［ターゲットNo.103対戦カード］
OFY3TCOBh3M,https://www.youtube.com/watch?v=OFY3TCOBh3M,場所のみ特別編！！おとさわvsオーロラデビルの見どころ！【#3あらかくNEWS】,36,result_or_title,☆ライト級タイトルマッチ
OFY3TCOBh3M,https://www.youtube.com/watch?v=OFY3TCOBh3M,場所のみ特別編！！おとさわvsオーロラデビルの見どころ！【#3あらかくNEWS】,40,event,現ターゲットライト級王者
OFY3TCOBh3M,https://www.youtube.com/watch?v=OFY3TCOBh3M,場所のみ特別編！！おとさわvsオーロラデビルの見どころ！【#3あらかくNEWS】,58,event,🟥きんとき36歳 190cm ターゲットプロジェクト【8勝10敗】
OFY3TCOBh3M,https://www.youtube.com/watch?v=OFY3TCOBh3M,場所のみ特別編！！おとさわvsオーロラデビルの見どころ！【#3あらかくNEWS】,88,youtube_url,https://youtu.be/VDwwo72yU9s?si=XgCzRF5_4IQmQ6-0
OFY3TCOBh3M,https://www.youtube.com/watch?v=OFY3TCOBh3M,場所のみ特別編！！おとさわvsオーロラデビルの見どころ！【#3あらかくNEWS】,91,youtube_url,https://youtu.be/4cccIjMPRHU?si=AiaANVELch62r9-v
