article_id,article_title,url,line_number,line_type,line_text
note-n7fba6b39d4af,第7回MAXバウトライト級GP一回戦Aブロック試合結果,https://note.com/xyz1090/n/n7fba6b39d4af,57,result_with_time,（1R2分00秒KO 飛び膝蹴り→パウンド）
note-n7fba6b39d4af,第7回MAXバウトライト級GP一回戦Aブロック試合結果,https://note.com/xyz1090/n/n7fba6b39d4af,63,result_with_time,（3R終了 判定3-0）
note-n7fba6b39d4af,第7回MAXバウトライト級GP一回戦Aブロック試合結果,https://note.com/xyz1090/n/n7fba6b39d4af,69,result_with_time,（1R3分18秒KO パウンド）
note-n94fc656c4a37,第7回MAXバウトライト級GP【Ｂブロック】対戦カード,https://note.com/xyz1090/n/n94fc656c4a37,4,matchup,第7回MAXバウトライト級GP【Ｂブロック】対戦カード｜アラカク通信のーと
note-n94fc656c4a37,第7回MAXバウトライト級GP【Ｂブロック】対戦カード,https://note.com/xyz1090/n/n94fc656c4a37,31,matchup,第7回MAXバウトライト級GP【Ｂブロック】対戦カード
note-n94fc656c4a37,第7回MAXバウトライト級GP【Ｂブロック】対戦カード,https://note.com/xyz1090/n/n94fc656c4a37,48,result,⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数⑨タイトル⑩戦いたい相手
note-n74c108e27e29,第7回MAXバウトライト級GP【Aブロック】対戦カード,https://note.com/xyz1090/n/n74c108e27e29,4,matchup,第7回MAXバウトライト級GP【Aブロック】対戦カード｜アラカク通信のーと
note-n74c108e27e29,第7回MAXバウトライト級GP【Aブロック】対戦カード,https://note.com/xyz1090/n/n74c108e27e29,31,matchup,第7回MAXバウトライト級GP【Aブロック】対戦カード
note-n74c108e27e29,第7回MAXバウトライト級GP【Aブロック】対戦カード,https://note.com/xyz1090/n/n74c108e27e29,48,result,⑥メジャー戦績⑦主戦団体⑧白グローブ出場回数⑨タイトル⑩戦いたい相手
note-n16df678bd0b6,マウンテン・ヒーローズNo.34 試合結果,https://note.com/xyz1090/n/n16df678bd0b6,52,result_with_time,（1R3分25秒KO 左アッパー→パウンド）
note-n16df678bd0b6,マウンテン・ヒーローズNo.34 試合結果,https://note.com/xyz1090/n/n16df678bd0b6,59,result_with_time,（3R終了 判定2-1）
note-n16df678bd0b6,マウンテン・ヒーローズNo.34 試合結果,https://note.com/xyz1090/n/n16df678bd0b6,66,result_with_time,（1R0分13秒KO 左ストレート）
note-n9c40e3dc26df,ターゲットNo.98試合結果,https://note.com/xyz1090/n/n9c40e3dc26df,46,matchup,ターゲットNo.98対戦カード
note-n9c40e3dc26df,ターゲットNo.98試合結果,https://note.com/xyz1090/n/n9c40e3dc26df,52,result_with_time,（3R終了 判定2-1）
note-n9c40e3dc26df,ターゲットNo.98試合結果,https://note.com/xyz1090/n/n9c40e3dc26df,59,result_with_time,（2R2分08秒KO パウンド）
note-na8af7e0deb18,マウンテン・ヒーローズNo.34 対戦カード,https://note.com/xyz1090/n/na8af7e0deb18,4,matchup,マウンテン・ヒーローズNo.34 対戦カード｜アラカク通信のーと
note-na8af7e0deb18,マウンテン・ヒーローズNo.34 対戦カード,https://note.com/xyz1090/n/na8af7e0deb18,31,matchup,マウンテン・ヒーローズNo.34 対戦カード
note-na8af7e0deb18,マウンテン・ヒーローズNo.34 対戦カード,https://note.com/xyz1090/n/na8af7e0deb18,46,matchup,マウンテン・ヒーローズNo.34 対戦カード
note-n54e46a159620,ターゲットNo.98対戦カード,https://note.com/xyz1090/n/n54e46a159620,4,matchup,ターゲットNo.98対戦カード｜アラカク通信のーと
note-n54e46a159620,ターゲットNo.98対戦カード,https://note.com/xyz1090/n/n54e46a159620,31,matchup,ターゲットNo.98対戦カード
note-n54e46a159620,ターゲットNo.98対戦カード,https://note.com/xyz1090/n/n54e46a159620,46,matchup,ターゲットNo.98対戦カード
note-n3ff7523758ca,エンペラー117試合結果,https://note.com/xyz1090/n/n3ff7523758ca,52,result_with_time,（2R1分52秒KO 左フック→パウンド）
note-n3ffa4b05eb45,ターゲットNo.97 試合結果,https://note.com/xyz1090/n/n3ffa4b05eb45,52,result_with_time,（1R3分05秒KO ミドルキック）
note-n3ffa4b05eb45,ターゲットNo.97 試合結果,https://note.com/xyz1090/n/n3ffa4b05eb45,80,result_with_time,（1R2分59秒KO 左フック）
note-n371a737986c1,エンペラー117対戦カード,https://note.com/xyz1090/n/n371a737986c1,4,matchup,エンペラー117対戦カード｜アラカク通信のーと
note-n371a737986c1,エンペラー117対戦カード,https://note.com/xyz1090/n/n371a737986c1,31,matchup,エンペラー117対戦カード
note-n371a737986c1,エンペラー117対戦カード,https://note.com/xyz1090/n/n371a737986c1,46,matchup,エンペラー117対戦カード
note-n25851bb5dc20,ターゲットNo.97対戦カード,https://note.com/xyz1090/n/n25851bb5dc20,4,matchup,ターゲットNo.97対戦カード｜アラカク通信のーと
note-n25851bb5dc20,ターゲットNo.97対戦カード,https://note.com/xyz1090/n/n25851bb5dc20,31,matchup,ターゲットNo.97対戦カード
note-n25851bb5dc20,ターゲットNo.97対戦カード,https://note.com/xyz1090/n/n25851bb5dc20,46,matchup,ターゲットNo.97対戦カード
note-n001f39a5fefb,マウンテン・ヒーローズNo.33試合結果,https://note.com/xyz1090/n/n001f39a5fefb,52,result_with_time,（2R3分46秒KO 左フック→右ジャブ→パウンド）
note-n001f39a5fefb,マウンテン・ヒーローズNo.33試合結果,https://note.com/xyz1090/n/n001f39a5fefb,66,result_with_time,（1R2分23秒KO 左フック）
note-n74034f313f19,ターゲットNo.96試合結果,https://note.com/xyz1090/n/n74034f313f19,48,result,☆ミドル級王座決定戦
